case,task,subtask,score,value,alg_number,alg_name,phase
46,braintumor,BRATS_L1,HSD,0.98397386,1,BCVuniandes,1
46,braintumor,BRATS_L2,HSD,1,1,BCVuniandes,1
46,braintumor,BRATS_L3,HSD,1,1,BCVuniandes,1
47,braintumor,BRATS_L1,DCS,0.178706385326162,1,BCVuniandes,1
47,braintumor,BRATS_L2,DCS,0.616640807659033,1,BCVuniandes,1
47,braintumor,BRATS_L1,HSD,0.69901043,1,BCVuniandes,1
47,braintumor,BRATS_L2,HSD,0.5675329,1,BCVuniandes,1
48,braintumor,BRATS_L1,DCS,0.171216422799738,1,BCVuniandes,1
48,braintumor,BRATS_L2,DCS,0.293014175367117,1,BCVuniandes,1
48,braintumor,BRATS_L1,HSD,0.47910514,1,BCVuniandes,1
48,braintumor,BRATS_L2,HSD,0.7128195,1,BCVuniandes,1
49,braintumor,BRATS_L1,DCS,0.479966063784659,1,BCVuniandes,1
49,braintumor,BRATS_L2,DCS,0.0700218818380744,1,BCVuniandes,1
49,braintumor,BRATS_L3,DCS,0.837175034206926,1,BCVuniandes,1
49,braintumor,BRATS_L1,HSD,0.8400884,1,BCVuniandes,1
49,braintumor,BRATS_L2,HSD,0.96088433,1,BCVuniandes,1
49,braintumor,BRATS_L3,HSD,0.995287,1,BCVuniandes,1
50,braintumor,BRATS_L1,DCS,0.387073368934293,1,BCVuniandes,1
50,braintumor,BRATS_L2,DCS,0.767201161300925,1,BCVuniandes,1
50,braintumor,BRATS_L1,HSD,0.91964227,1,BCVuniandes,1
50,braintumor,BRATS_L2,HSD,0.81292665,1,BCVuniandes,1
51,braintumor,BRATS_L1,DCS,0.626399938209624,1,BCVuniandes,1
51,braintumor,BRATS_L2,DCS,0.683111341751715,1,BCVuniandes,1
51,braintumor,BRATS_L1,HSD,0.96306634,1,BCVuniandes,1
51,braintumor,BRATS_L2,HSD,0.5804306,1,BCVuniandes,1
52,braintumor,BRATS_L1,DCS,0.291417896780338,1,BCVuniandes,1
52,braintumor,BRATS_L2,DCS,0.661155752593824,1,BCVuniandes,1
52,braintumor,BRATS_L3,DCS,0.873521383075523,1,BCVuniandes,1
52,braintumor,BRATS_L1,HSD,0.756427,1,BCVuniandes,1
52,braintumor,BRATS_L2,HSD,0.86055964,1,BCVuniandes,1
52,braintumor,BRATS_L3,HSD,0.9967598,1,BCVuniandes,1
53,braintumor,BRATS_L1,DCS,0.877019614726403,1,BCVuniandes,1
53,braintumor,BRATS_L2,DCS,0.617969888295289,1,BCVuniandes,1
53,braintumor,BRATS_L3,DCS,0.882389340373747,1,BCVuniandes,1
53,braintumor,BRATS_L1,HSD,0.9232504,1,BCVuniandes,1
53,braintumor,BRATS_L2,HSD,0.7787081,1,BCVuniandes,1
53,braintumor,BRATS_L3,HSD,1,1,BCVuniandes,1
54,braintumor,BRATS_L1,DCS,0.155083587425087,1,BCVuniandes,1
54,braintumor,BRATS_L2,DCS,0,1,BCVuniandes,1
54,braintumor,BRATS_L1,HSD,0.38771367,1,BCVuniandes,1
54,braintumor,BRATS_L2,HSD,0,1,BCVuniandes,1
55,braintumor,BRATS_L1,DCS,0.66694646276526,1,BCVuniandes,1
55,braintumor,BRATS_L1,HSD,0.8810674,1,BCVuniandes,1
56,braintumor,BRATS_L1,DCS,0.90573641264641,1,BCVuniandes,1
56,braintumor,BRATS_L2,DCS,0.842483595475979,1,BCVuniandes,1
56,braintumor,BRATS_L3,DCS,0.721361948745812,1,BCVuniandes,1
56,braintumor,BRATS_L1,HSD,0.92942446,1,BCVuniandes,1
56,braintumor,BRATS_L2,HSD,0.9972215,1,BCVuniandes,1
56,braintumor,BRATS_L3,HSD,1,1,BCVuniandes,1
57,braintumor,BRATS_L1,DCS,0.650916805576602,1,BCVuniandes,1
57,braintumor,BRATS_L2,DCS,0.793985997934121,1,BCVuniandes,1
57,braintumor,BRATS_L3,DCS,0.591962905718702,1,BCVuniandes,1
57,braintumor,BRATS_L1,HSD,0.8651023,1,BCVuniandes,1
57,braintumor,BRATS_L2,HSD,0.99550474,1,BCVuniandes,1
57,braintumor,BRATS_L3,HSD,0.98948044,1,BCVuniandes,1
58,braintumor,BRATS_L1,DCS,0.603504206630388,1,BCVuniandes,1
58,braintumor,BRATS_L2,DCS,0.713205168610148,1,BCVuniandes,1
58,braintumor,BRATS_L3,DCS,0.544888196684837,1,BCVuniandes,1
58,braintumor,BRATS_L1,HSD,0.8080262,1,BCVuniandes,1
58,braintumor,BRATS_L2,HSD,0.9621573,1,BCVuniandes,1
58,braintumor,BRATS_L3,HSD,0.8858821,1,BCVuniandes,1
59,braintumor,BRATS_L1,DCS,0.812481382869032,1,BCVuniandes,1
59,braintumor,BRATS_L2,DCS,0.57933359263581,1,BCVuniandes,1
59,braintumor,BRATS_L3,DCS,0.739378753822912,1,BCVuniandes,1
59,braintumor,BRATS_L1,HSD,0.96852744,1,BCVuniandes,1
59,braintumor,BRATS_L2,HSD,0.9690848,1,BCVuniandes,1
59,braintumor,BRATS_L3,HSD,0.9750825,1,BCVuniandes,1
60,braintumor,BRATS_L1,DCS,0.767173936341228,1,BCVuniandes,1
60,braintumor,BRATS_L2,DCS,0.79295420611971,1,BCVuniandes,1
60,braintumor,BRATS_L3,DCS,0.816719087104572,1,BCVuniandes,1
60,braintumor,BRATS_L1,HSD,0.86167,1,BCVuniandes,1
60,braintumor,BRATS_L2,HSD,0.9696835,1,BCVuniandes,1
60,braintumor,BRATS_L3,HSD,0.9994878,1,BCVuniandes,1
61,braintumor,BRATS_L1,DCS,0.802485520175076,1,BCVuniandes,1
61,braintumor,BRATS_L2,DCS,0.57806143395663,1,BCVuniandes,1
61,braintumor,BRATS_L3,DCS,0.895346186000557,1,BCVuniandes,1
61,braintumor,BRATS_L1,HSD,0.9823956,1,BCVuniandes,1
61,braintumor,BRATS_L2,HSD,0.81149447,1,BCVuniandes,1
61,braintumor,BRATS_L3,HSD,0.99537635,1,BCVuniandes,1
62,braintumor,BRATS_L1,DCS,0.783807476613068,1,BCVuniandes,1
62,braintumor,BRATS_L2,DCS,0.242003367003367,1,BCVuniandes,1
62,braintumor,BRATS_L1,HSD,0.9645666,1,BCVuniandes,1
62,braintumor,BRATS_L2,HSD,0.56559145,1,BCVuniandes,1
63,braintumor,BRATS_L1,DCS,0.822116098165722,1,BCVuniandes,1
63,braintumor,BRATS_L2,DCS,0.235257668078075,1,BCVuniandes,1
63,braintumor,BRATS_L3,DCS,0.0206896551724138,1,BCVuniandes,1
63,braintumor,BRATS_L1,HSD,0.9577062,1,BCVuniandes,1
63,braintumor,BRATS_L2,HSD,0.5548475,1,BCVuniandes,1
63,braintumor,BRATS_L3,HSD,0.46614853,1,BCVuniandes,1
64,braintumor,BRATS_L1,DCS,0.71449590068929,1,BCVuniandes,1
64,braintumor,BRATS_L2,DCS,0.580782581255917,1,BCVuniandes,1
64,braintumor,BRATS_L3,DCS,0.780529859962253,1,BCVuniandes,1
64,braintumor,BRATS_L1,HSD,0.9176246,1,BCVuniandes,1
64,braintumor,BRATS_L2,HSD,0.6414968,1,BCVuniandes,1
64,braintumor,BRATS_L3,HSD,0.9748243,1,BCVuniandes,1
65,braintumor,BRATS_L1,DCS,0.807270845290505,1,BCVuniandes,1
65,braintumor,BRATS_L2,DCS,0.513656993535965,1,BCVuniandes,1
65,braintumor,BRATS_L3,DCS,0.75356943519202,1,BCVuniandes,1
65,braintumor,BRATS_L1,HSD,0.9079246,1,BCVuniandes,1
65,braintumor,BRATS_L2,HSD,0.9262459,1,BCVuniandes,1
65,braintumor,BRATS_L3,HSD,0.9706163,1,BCVuniandes,1
66,braintumor,BRATS_L1,DCS,0.794908292878472,1,BCVuniandes,1
66,braintumor,BRATS_L2,DCS,0.488222141334304,1,BCVuniandes,1
66,braintumor,BRATS_L3,DCS,0.773719182310011,1,BCVuniandes,1
66,braintumor,BRATS_L1,HSD,0.9259616,1,BCVuniandes,1
66,braintumor,BRATS_L2,HSD,0.89882135,1,BCVuniandes,1
66,braintumor,BRATS_L3,HSD,0.9766893,1,BCVuniandes,1
67,braintumor,BRATS_L1,DCS,0.830844993605057,1,BCVuniandes,1
67,braintumor,BRATS_L2,DCS,0.152687673772011,1,BCVuniandes,1
67,braintumor,BRATS_L3,DCS,0.385298196948682,1,BCVuniandes,1
67,braintumor,BRATS_L1,HSD,0.9045107,1,BCVuniandes,1
67,braintumor,BRATS_L2,HSD,0.82374954,1,BCVuniandes,1
67,braintumor,BRATS_L3,HSD,0.92236024,1,BCVuniandes,1
68,braintumor,BRATS_L1,DCS,0.590767275903929,1,BCVuniandes,1
68,braintumor,BRATS_L2,DCS,0.00222463374932176,1,BCVuniandes,1
68,braintumor,BRATS_L3,DCS,0.275736961451247,1,BCVuniandes,1
68,braintumor,BRATS_L1,HSD,0.85539633,1,BCVuniandes,1
68,braintumor,BRATS_L2,HSD,0.05338391,1,BCVuniandes,1
68,braintumor,BRATS_L3,HSD,0.2629045,1,BCVuniandes,1
69,braintumor,BRATS_L1,DCS,0.864757490481708,1,BCVuniandes,1
69,braintumor,BRATS_L2,DCS,0.0264094821758529,1,BCVuniandes,1
69,braintumor,BRATS_L3,DCS,0.804331943787872,1,BCVuniandes,1
69,braintumor,BRATS_L1,HSD,0.90590674,1,BCVuniandes,1
69,braintumor,BRATS_L2,HSD,0.4671106,1,BCVuniandes,1
69,braintumor,BRATS_L3,HSD,0.92319435,1,BCVuniandes,1
70,braintumor,BRATS_L1,DCS,0.847922825579586,1,BCVuniandes,1
70,braintumor,BRATS_L2,DCS,0.0486455635070466,1,BCVuniandes,1
70,braintumor,BRATS_L3,DCS,0.8101814753712,1,BCVuniandes,1
70,braintumor,BRATS_L1,HSD,0.91108894,1,BCVuniandes,1
70,braintumor,BRATS_L2,HSD,0.5462363,1,BCVuniandes,1
